Membership No  Date Joined  Active  
    87164      2015-10-8    no    
    92514      2018-12-5    no    
    77666      2017-8-20    no    
    18576      2015-4-22    no    
    32610      2016-2-12    no    
    11551      2015-2-24    no    
    38718      2016-1-4     no    
    11528      2018-2-2     no    
    62580      2016-11-6    no    
    95578      2018-2-9     no    
    28017      2019-11-15   no    
    41349      2020-4-10    no    
    20265      2018-3-9     no    
    32462      2018-1-2     no    
    42794      2019-4-21    no    
