Membership No  Date Joined  Active  
    27150      2016-7-19    no    
    60293      2018-10-11   no    
    12399      2020-5-3     no    
    10347      2020-6-4     no    
    16256      2015-8-24    no    
    92889      2020-9-6     no    
    61686      2017-9-1     no    
    59977      2015-4-1     no    
    94869      2015-9-4     no    
    95263      2020-4-21    no    
    89998      2017-1-5     no    
    29213      2016-6-11    no    
    39854      2015-6-23    no    
    61671      2017-6-8     no    
    48388      2018-1-20    no    
